Accepted scientific name of species ,Common.Name,Vernacular.Name,Growth.Habit,Duration,Group,Source
Clidemia hirta (L.) D.Don,Koster'S Curse,,Shrub;Tree,Perennial,Dicot,TRY;NRCS
Clinanthus coccineus (Ruiz & Pav.) Meerow,,,Herb,Perennial,Monocot,FPI
Clinopodium vulgare L.,Cushion Calamint,,Herb,Perennial,Dicot,TRY;NRCS
Clitoria ternatea L.,Butterfly Pea,"Aparajita (asm); Aparajita (ben); Aparajita (hin); Sattaga, Shankha pu?hpa, Shankha pu?hpi, Girikanne, Girikarnike, Ka??hi (kan); Aparajita (mni); Kannikkodi (tam); Sangu pushpam (mal); Gokurna Shankha Pushpa (mar); Shankha Pushpa (knn); sakha pushpam (tel); Aparaajitaa, Shankhapushpee, Gokarna (npi)",Herb;Vine,Perennial,Dicot,TRY;NRCS
Cobaea scandens Cav.,Cup And Saucer Vine,,Vine,Perennial,Dicot,FOI
Coccothrinax barbadensis (Lodd. ex Mart.) Becc.,Silver Palm,,Shrub;Tree,Perennial,Monocot,NRCS
Cocos nucifera L.,Coconut,Kobbari (tel); Thennai (tam),Tree,Perennial,Monocot,TRY;NRCS
Coix lacryma-jobi L.,Job'S Tears,"Samkru, Gurlu (hin); Chaning (mni); Ran-maka, Kasai (mar); Kattu kundumani (tam); Kattugotampu (mal); Adavi guruginja (tel); Manjutti, Ashru bija (kan); Gurgur (ben); Ran jamdhlo (knn); Kasi, Kasai (guj); Gavedhukah (san); Sohriu (Khasi); Pingpih (lus); Bhirakaulo, Jaabe (npi)",Graminoid,Annual;Perennial,Monocot,NRCS
Coldenia procumbens L.,Creeping Coldenia,"Tripungkee, Tripungki, Tripunkhi (hin); Tripunkhi, Taripakshi (mar); Seruppadai, sirupadi, cheruppadi (tam); hamapadi, hamsapdu, chepputattaku (tel); Hamsapaadi, Godaapadi (kan); Moyinibuta (ori); Tripakshee, Tripakshi (san)",Herb,Annual,Dicot,TRY;FOI
Colea colei (Bojer ex Hook.) M.L.Green,,,Tree,Perennial,Dicot,FPI
Colletia spinosissima J.F.Gmel.,,,Shrub,Perennial,Dicot,NRCS;IBP
Colocasia esculenta (L.) Schott,Taro,"Bon kachu, pani kachu (asm); banakochu, jongli kochu (ben); arui, kanda (Bhojpuri); alavi (guj); arabi, aruwi, banda, ghuyan, kachalu, kachchu, kala kachchu, kechuk, manak kanchu, nalika, nalita, nari patra, narich, pechu, van kachu, vishva rochan, vitanda (hin); kesavu,kesa, kesu (kan); terem, venti (knn); chemp, manam, tal (mal); Pan (mni); alem, alu (mar); dawl (mar); aruvee, gaawaa, karkalo, kuchuro, pindaalu (npi); kachu, pechu, saru (ori); gagli, gawian, kachalu (pan); dalasarini, kachu, kachvi, kalakachu, kemuka, nadicha, nadipattra, nalita, pechu, shakata, trutibija, vanakachu, vishvarochana, vitanda (san); kachalu (Sindhi); chempu, nir-c-cempu, peculam (tam); chama, chema (tel); aruwi, ghuyan, kachalu, kachchu, kechuk, nalika, nalita, pechu, narich, vitanda (urd)",Herb,Perennial,Monocot,TRY;NRCS
Combretum indicum (L.) DeFilipps,Rangoon Creeper,Madhavi lata (asm); Madhu Malati (hin); Parijat (mni); Vilayati chambeli (mar); Irangun malli (tam); Madhumanjari (ben),Vine,Perennial,Dicot,FOI
Commelina virginica L.,Virginia Dayflower,,Herb,Perennial,Monocot,NRCS
Commiphora gileadensis (L.) C.Chr.,Arabian Balsam Tree,,Shrub,Perennial,Dicot,DG
Congea velutina Wight,Velvet Congea,,Shrub,Perennial,Dicot,FPI
Consolida regalis Gray,Forking Larkspur,,Herb,Annual,Dicot,NRCS
Convolvulus arvensis L.,Field Bindweed,"Hiranpug, Hiranpadi (hin); Thurae posh (kas); Chand-wel (mar); Bhoomi Chakra Poondu (tam)",Herb;Vine,Perennial,Dicot,TRY;NRCS
Conyza sumatrensis (S.F.Blake) Pruski & G.Sancho,Tall Fleabane,,Herb,Annual,Dicot,TRY;FOI
Corchorus aestuans L.,East Indian Mallow,"Chonch, Hade-ka-khet (hin); Limon (mni); Kajati, Kalasa, Nela bera, patta (tel); Chanchu gida (kan); Tita Pat (ben); Chunch (guj); Chunchuh (san)",Herb,Annual,Dicot,TRY;NRCS
Corchorus capsularis L.,White Jute,"mara shaak (asm); koshta (ben); patta shaak (hin); senabu (kan); tupkati (knn); chonche, isabanda, kshudra chanchu (mar); naru-valli (tam)",Herb,Annual,Dicot,TRY;NRCS
Corchorus fascicularis Lam.,,"Chunchali soppu (kan); Bahuphalli, Kiram kuri, Motibahuthali (mar)",Shrub,Annual,Dicot,TRY;FPI
Corchorus olitorius L.,Nalta Jute,"Pat, Pat-sag, Mithapat (hin); Limon (mni); Motichhunchh, Banpat (mar); Punaku, Peratti (tam); Parinta (tel); Bhungipat (ben); Kaunria (ori); Mahachanchu (san)",Herb,Annual,Dicot,TRY;NRCS
Corchorus tridens L.,Horn-Fruited Jute,Patua saag (npi),Herb,Annual,Dicot,TRY;NRCS
Corchorus trilocularis L.,Wild Jute,"Kadukosta, Kadvapat, Hardikaket (hin); Ennepundi gida, Kaaduchunchali gida (kan); Kaaduchunch (mar); Jangali jiraa (ori); Chanchu, Dirghachanchu, Kaunti, Raja-jira (san); Bankitutturu (tel)",Herb,Annual,Dicot,TRY;NRCS;FOI
Cordia cylindrostachya (Ruiz & Pav.) Roem. & Schult.,"String Bush, Scorpion Weed",,Shrub;Tree,Perennial,Dicot,FPI
Cordyline australis Hook.f.,Cabbage Tree,,Tree,Perennial,Monocot,NRCS
Cordyline fruticosa (L.) A.Chev.,"Hawaiian Ti Plant, Good Luck Plant",,Shrub;Tree,Perennial,Monocot,NRCS
Cordyline pumilio Hook.f.,Slender Palm Lily,,Shrub,Perennial,Monocot,ALA
Coreopsis grandiflora Hogg ex Sweet,Large-Flowered Tickseed,,Herb,Perennial,Dicot,NRCS
Coriandrum sativum L.,Coriander,"Dhaniya (hin); Kottambari, Kotimbri, Kotambri, Kottimari, Kottamari, Haveeja (kan); Phadigom (mni); kotthu malli (tam); Dhaniyaa (npi); Dhanyak, kustumbaree (san)",Herb,Annual,Dicot,NRCS
Cortaderia selloana (Schult. & Schult.f.) Asch. & Graebn.,Pampas Grass,,Graminoid,Perennial,Monocot,NRCS
Corymbia citriodora (Hook.) K.D.Hill & L.A.S.Johnson,Lemon Scented Gum,"Safeda (hin); Neelgiri (kan); Nasik (mni); Talanoppu, Talanoppi (tel)",Tree,Perennial,Dicot,TRY;NRCS
Corymbia maculata (Hook.) K.D.Hill & L.A.S.Johnson,Spotted gum,,Tree,Perennial,Dicot,POWO
Cosmos bipinnatus Cav.,Pink Cosmos,,Herb,Annual,Dicot,TRY;NRCS
Cosmos sulphureus Cav.,Sulphur Cosmos,Konung sanarei (mni),Herb,Annual,Dicot,TRY;NRCS
Costus erythrophyllus Loes.,,,Herb,Perennial,Monocot,DG
Costus malortieanus H.Wendl.,Stepladder Ginger,,Herb,Perennial,Monocot,NRCS
Cotoneaster transens G.Klotz,Godalming Cotoneaster,,Shrub,Perennial,Dicot,http://beta.semanticfna.org/Cotoneaster_transens;accessed on: 31 May 2020
Cotula australis (Sieber ex Spreng.) Hook.f.,Australian Buttonweed,,Herb,Annual,Dicot,TRY;NRCS
Crassocephalum crepidioides (Benth.) S.Moore,Thickhead,Anikale jhar (npi); Tera paibi (mni); Buar-thau (lus),Herb,Annual,Dicot,TRY;NRCS
Crassocephalum vitellinum (Benth.) S.Moore,Purple Velvet Plant,Maaniyam Poondu (tam),Herb;Vine,Perennial,Dicot,NRCS
Crassula coccinea L.,"Red Crassula, Stone Flower",,Herb,Perennial,Dicot,FOI
Crassula multicava Lem.,Fairy Crassula,,Herb,Perennial,Dicot,NRCS
Crataegus monogyna Jacq.,Common Hawthorn,,Shrub;Tree,Perennial,Dicot,NRCS
Craterostigma plantagineum Hochst.,Blue Carpe,,Herb,Perennial,Dicot,TRY;NRCS
Crepis sancta (L.) Bornm.,Sacred Hawksbeard,,Herb,Annual,Dicot,TRY;FOI
Crescentia alata Kunth,Mexican Calabash,"Kamandal (hin); Soreburude mara, Bakkare (kan); Tiruvottukkay (tam)",Tree,Perennial,Dicot,NRCS
Crinum moorei Hook.f.,Natal Lily,,Shrub,Perennial,Monocot,FOI
Crocosmia pottsii (Baker) N.E.Br.,Pott'S Montbretia,,Herb,Perennial,Monocot,FPI
Crossostephium artemisioides Less.,,,Herb,Perennial,Dicot,https://uses.plantnet-project.org/en/Crossostephium_chinense_(PROSEA);accessed on: 31 May 2020
Crotalaria goreensis Guill. & Perr.,Gambia Pea,,Shrub,Annual;Perennial,Dicot,NRCS;ALA
Crotalaria incana L.,Shakeshake,,Herb,Annual;Biennial;Pernnial,Dicot,NRCS
Crotalaria juncea L.,Sunn Hemp,"Shon (ben); Jhunjhunia, masina, San (hin); Pundi (kan); Chanaka (mal); Oo Hawai (mni); Dhakti ghagri, Ghagharu, San (mar); Dhanahari, Dirghapallava, Dirghashakla (san); Vakkunnar (tam); Gilaka, Shanama (tel); San (urd)",Herb,Annual,Dicot,TRY;NRCS
Crotalaria medicaginea Lam.,Trefoil Rattlepod,Gulali (hin),Herb,Annual;Perennial,Dicot,NRCS;FOI
Crotalaria micans Link,Shining Rattlepod,Tumthang-suak (lus),Shrub,Perennial,Dicot,TRY;NRCS
Crotalaria pallida Aiton,Rattlebox,"Ghantakarna, Junjuniya (asm); jhunjhuna, janglisana, kutkuti, shanaphula (ben); gijigiji gida (kan); kilukilukki (mal); jungli tag (mar); chin-chine (npi); katutikta, shana, shanapuspi (san); giligitcha (tel)",Herb,Perennial,Dicot,NRCS
Croton bonplandianus Baill.,Ban Tulsi,Ban tulsi (ben); Kala Bhangra (hin); Reilpoondu (tam); Alpa bedhi soppu (kan); Mirchaiya Jhaar (npi),Herb;Shrub,Annual,Dicot,TRY;NRCS
Croton hirtus L'Hér.,Hairy Croton,,Herb,Annual,Dicot,FOI
Cryosophila nana (Kunth) Blume,,,Shrub,Perennial,Monocot,DG
Cryptanthus zonatus (Vis.) Beer,Zebra-Leaf Earth-Star,,Herb,Perennial,Monocot,FOI
Cryptostegia grandiflora Roxb. ex R.Br.,Rubber Vine,"Rubber ki bel (hin); Palai (tam); Vilyati-Vakundi (mar); hambu rubber gida (kan); pala, palay (mal); ganta paala, rabbarutheega (tel)",Shrub;Vine,Perennial,Dicot,TRY;NRCS
Cryptostegia madagascariensis Bojer ex Decne.,,,Shrub;Vine,Perennial,Dicot,TRY;NRCS
Cuphea bustamanta Lex.,,,Herb,Annual;Perennial,Dicot,EOL
Cuphea hyssopifolia Kunth,Mexican Heather,,Shrub,Perennial,Dicot,NRCS
Cuphea ignea A.DC.,Cigar Plant,,Shrub,Perennial,Dicot,NRCS
Cuphea lanceolata W.T.Aiton,Cigar Flower,,Herb,Annual;Perennial,Dicot,TRY
Cuphea llavea Lex.,Bat-Faced Cuphea,,Shrub,Annual;Perennial,Dicot,DG
Cuphea melvilla Lindl.,"Candy Corn Plant, Cigar Plant",,Shrub,Perennial,Dicot,DG
Cuphea micropetala Kunth,Tall Cigar Plant,,Herb,Perennial,Dicot,FOI
Cupressus arizonica Greene,Arizona Cypress,,Tree,Perennial,Gymnosperm,TRY;NRCS
Cupressus goveniana Gordon,Gowen Cypress,,Shrub;Tree,Perennial,Gymnosperm,TRY;NRCS
Curcuma zanthorrhiza Roxb.,Java Ginger,,Herb,Perennial,Monocot,FPI
Cuscuta campestris Yunck.,Golden Dodder,,Herb;Vine,Perennial,Dicot,TRY;NRCS
Cuscuta chinensis Lam.,Chinese Dodder,Amarbel (hin); Amrvel (mar),Vine,Perennial,Dicot,FPI
Cuscuta pentagona Engelm., Five-Cornered Dodder,,Herb;Vine,Annual;Perennial,Dicot,NRCS
Cuscuta planiflora Ten.,Red Dodder,,Herb;Vine,Annual;Perennial,Dicot,NRCS
Cyanus segetum Hill,Garden Cornflower,,Herb,Annual,Dicot,FPI
Cycas revoluta Thunb.,Sago Palm,"Bettada madanamasti, Bettada goddeechal (kan)",Shrub;Tree,Perennial,Gymnosperm,TRY;NRCS
Cyclanthus bipartitus Poit. ex A.Rich.,Split-Leaf Cyclanthus,,Shrub,Perennial,Monocot,DG
Cyclospermum leptophyllum (Pers.) Sprague,Fir-Leaved Celery,Ajamoda (san),Herb,Annual,Dicot,TRY;NRCS
Cylindropuntia ramosissima (Engelm.) F.M.Knuth,Branched Pencil Cholla,"Uruttai Chapathikalli, Velikalli (tam)",Shrub,Perennial,Dicot,NRCS
"Cymbalaria muralis P.Gaertn., B.Mey. & Scherb.",Kenilworth Ivy,,Herb,Annual,Dicot,TRY;NRCS
Cymbopogon citratus (DC.) Stapf,Lemon Grass,Gandhatrina (hin); Haona (mni); Olecha (mar); Karppurappul (tam);  Vasana Pullu (mal); Nimmagaddi (tel); Majjigehullu (kan); Gandhabena (ben); Oli-cha (knn); Lilicha (guj); Bhustrina (san),Graminoid,Perennial,Monocot,TRY;NRCS
Cymbopogon winterianus Jowitt ex Bor,Java Citronella,,Graminoid,Perennial,Monocot,TRY;NRCS
Cynara cardunculus L.,Cardoon,Hathichuk (hin),Herb,Perennial,Dicot,NRCS
Cynodon dactylon (L.) Pers.,Bermuda Grass,"Dudo (ori), Garika (tel)",Graminoid,Perennial,Monocot,NRCS
Cynodon plectostachyus (K.Schum.) Pilg.,African Stargrass,,Graminoid,Perennial,Monocot,TRY;NRCS
Cynometra cauliflora L.,"Namnam, Katak Puru, Puki Anjing, Namu Namu",,Tree,Perennial,Dicot,POWO
Cyperus alopecuroides Rottb.,Foxtail Flatsedge,Santara (ori),Graminoid,Perennial,Monocot,TRY;NRCS
Cyperus alternifolius L.,Umbrella Palm,Chhaataa Mothe (npi),Graminoid,Perennial,Monocot,NRCS
Cyperus arenarius Retz.,Sedge,,Graminoid,Perennial,Monocot,FPI
Cyperus cruentus Rottb.,,,Graminoid,Perennial,Monocot,https://plants.jstor.org/compilation/cyperus.cruentus;accessed on: 31 May 2020
Cyperus difformis L.,Variable Flatsedge,Karisannajambi hullu (kan); Laval (mar),Graminoid,Annual,Monocot,TRY;NRCS
Cyperus dubius Rottb.,Soft Sedge,,Graminoid,Perennial,Monocot,FOI
Cyperus esculentus L.,Yellow Nutsedge,"Chichoda, Chichada (hin); Konnari gadde (kan); Bhadramusta, Nagaramustakah (san)",Graminoid,Perennial,Monocot,TRY;NRCS
Cyperus fuscus L.,Brown Flatsedge,"Kadu Jeku, Sanna Jekin Gadde (kan)",Graminoid,Annual,Monocot,NRCS
Cyperus glomeratus L.,Clustered Sedge,,Graminoid,Annual,Monocot,FOI
Cyperus hamulosus M.Bieb.,,,Graminoid,Annual,Monocot,POWO
Cyperus involucratus Rottb.,Umbrella Sedge,,Graminoid,Perennial,Monocot,TRY;NRCS
Cyperus iria L.,Rice Flat Sedge,"Moth (hin); Jeku, Jeku Kasa, Jekin Hullu, Jekin Gadde (kan); Kangkhal sabi (mni); Mothe, Chhaataa Mothe, Chatare Mothe (npi); Yanaikkitti (tam)",Graminoid,Annual,Monocot,TRY;NRCS
Cyperus longus L.,Galingale,,Graminoid,Perennial,Monocot,DG
Cyperus michelianus (L.) Delile,Pygmy Sedge,,Graminoid,Annual,Monocot,FOI
Cyperus papyrus L.,Paper Reed,,Graminoid,Perennial,Monocot,TRY;NRCS
Cyperus prolifer Lam.,Dwarf Papyrus,,Graminoid,Perennial,Monocot,TRY;NRCS
Cyperus rotundus L.,Common Nut Sedge,"Keyabon (asm); Bara-nagar-motha, Korehi-jhar, Motha (hin); abdahullu, koranari-gadde (kan); karimuttan, kora-kizanna, muttanna (mal); Shembang kouthum (mni); Barik motha, Bimbal (mar); Mothe, Nagar Mothe, Kasur (npi); mutha (ori); abhrabheda, ambhodhara, ambuda (san); korai, korai kilangu, muthakasu (tam); bhadra-tunga-muste, bhadramuste (tel); sad kufi, habu-ul-zillam, nagarmotha (urd); Tawnhnianga-hlo (lus)",Graminoid,Perennial,Monocot,TRY;NRCS
Cyperus sphacelatus Rottb.,Roadside Flatsedge,,Graminoid,Annual,Monocot,NRCS
Cyperus surinamensis Rottb.,Tropical Flatsedge,,Graminoid,Perennial,Monocot,NRCS
Cyrtostachys renda Blume,Sealing Wax Palm,Chuvanna pana (mal),Shrub,Perennial,Monocot,FOI
Cytisus hirsutus L.,Clustered Broom,,Herb,Perennial,Dicot,NRCS;IBP
Cytisus multiflorus (L'Her.) Sweet,White Spanish Broom,,Shrub,Perennial,Dicot,NRCS
Cytisus proliferus L.f.,Tree Lucerne,,Shrub,Perennial,Dicot,TRY;NRCS
Cytisus scoparius (L.) Link,Scotch Broom,,Shrub,Perennial,Dicot,TRY;NRCS
Daboecia cantabrica (Huds.) K.Koch,St Dabeoc'S Heath,,Shrub,Perennial,Dicot,DG
Dactyliandra welwitschii Hook.f.,,,Herb,Perennial,Dicot,https://plants.jstor.org/compilation/dactyliandra.welwitschii;accessed on: 31 May 2020
Dactylis glomerata L., Cock'S-Foot,,Graminoid,Perennial,Monocot,TRY;NRCS
Dactyloctenium aegyptium (L.) Willd.,Crowfoot Grass,Makra (hin); Pungphai (mni),Graminoid,Annual,Monocot,TRY;NRCS
Dactyloctenium australe Steud.,Durban Grass,,Graminoid,Perennial,Monocot,NRCS
Dactyloctenium scindicum Boiss.,Sind Crowfoot Grass,"Mothi, Tantia, Tantia-ghas, Ubio gantio (hin); Gavadani (san)",Graminoid,Perennial,Monocot,TRY;FOI
Dahlia coccinea Cav.,Single Flowered Dahlia,Laahure Phool (npi),Shrub,Perennial,Dicot,NRCS;FOI
Dahlia imperialis Roezl ex Ortgies,Tree Dahlia,,Herb,Perennial,Dicot,FOI
Dahlia pinnata Cav.,Garden Dahlia,,Herb,Perennial,Dicot,TRY;NRCS
Dalbergia melanoxylon Guill. & Perr.,African Blackwood,,Tree,Perennial,Dicot,TRY;FOI
Dalechampia tamifolia Lam.,,,Shrub;Vine,Perennial,Dicot,FPI
Daphnopsis anomala (Kunth) Domke,,,Shrub;Tree,Perennial,Dicot,EOL
Datura ferox L.,Fierce Thorn Apple,,Herb,Annual,Dicot,TRY;NRCS
Datura inoxia Mill.,Datura,"Safed dhatura (hin); Ummata (mal); Sagol hidak (mni); Dhutro (mar); Dhattoor, Dhattooraka, Dhattoorakaa, Dhattura (san); Vellum mattai, Karu ?mattai (tam)",Herb,Annual;Perennial,Dicot,TRY;NRCS
Datura metel L.,Datura Triple Yellow,Nallaummetta (tel); Umathai (tam),Shrub,Annual;Perennial,Dicot,TRY;NRCS
Datura quercifolia Kunth,,,Herb,Annual,Dicot,TRY;NRCS
Datura stramonium L.,Jimsonweed,"Bili ummatti, Umbatti, Dattava, Dattoori, Sadaa dattoora, Dhattoori, Dhustoora, Maddugunike (kan); Sagol hidak (mni)",Herb,Annual,Dicot,TRY;NRCS
Daucus carota L.,Wild Carrot,"Jangli gajar (hin); Gajar (mni); Gajar (mar); Gajar jhar (npi); carrot kalung (tam); Gajjari, Gaajara (kan); Gajar (san)",Herb,Biennial,Dicot,TRY;NRCS
Deeringia amaranthoides (Lam.) Merr.,Shrubby Deeringia,"Rangoli-lota (asm); golamohani (ben);  kalalori, latman, wali (hin)",Shrub;Vine,Perennial,Dicot,NRCS;FOI
Delairea odorata Lem.,Cape-Ivy,,Herb;Vine,Perennial,Dicot,NRCS
Delonix regia (Hook.) Raf.,Gulmohar,Turayi (tel),Tree,Perennial,Dicot,TRY;NRCS
Delphinium elatum L.,Candle Larkspur,,Herb,Perennial,Dicot,NRCS
Dendrocalamus giganteus Munro,Giant Bamboo,,Graminoid,Perennial,Monocot,TRY;DG
Dendrocalamus strictus (Roxb.) Nees,Calcutta Bamboo,Munglakarra (tel),Graminoid,Perennial,Monocot,TRY;NRCS;FOI
Dentella repens (L.) J.R.Forst. & G.Forst.,Creeping Dentella,Cherumaneli (mal),Herb;Vine,Annual;Perennial,Dicot,NRCS;FOI
Desmanthus virgatus (L.) Willd.,Wild Tantan,,Herb,Perennial,Dicot,TRY;NRCS
Desmodium microphyllum (Thunb.) DC.,,Kattu-avam-poovu (mal),Herb;Shrub,Annual;Perennial,Dicot,FPI
Desmodium neomexicanum A.Gray,,,Herb,Annual,Dicot,NRCS
Desmodium scorpiurus (Sw.) Desv.,Scorpion Tick Trefoil,,Herb,Perennial,Dicot,NRCS
Desmodium tortuosum (Sw.) DC.,Florida Beggarweed,,Herb,Annual;Perennial,Dicot,TRY;NRCS
Desmodium triflorum (L.) DC.,Creeping Tick Trefoil,"Kudaliya, motha (hin); Bawngekhlo, Siakthur-suak (lus); chipti, ran-methi (mar); sirupullati, ciru pullati, sirupulladi (tam); munta-mandu, nilamparanta (mal); moohoodoo, moordoo, muntamandu (tel); kaadu pullampurasi, kaadu pullam purasi, kaadu menthe (kan); kudaliya (ben); bawngekhlo, kansisna (ori); Hamsapadi, Tripadi (san); Motoi, Baakhre Ghaans, Bute kanike (npi)",Herb,Perennial,Dicot,TRY;NRCS
Desmodium uncinatum (Jacq.) DC.,Silverleaf Desmodium,"Moschio, Pottukola, Kolagukola (mal)",Herb;Shrub,Perennial,Dicot,NRCS
Dianella tasmanica Hook.f.,Flax Lily,,Herb,Perennial,Monocot,FOI
Dianthus barbatus L.,Sweet William,,Herb,Perennial,Dicot,TRY;NRCS
Dianthus caryophyllus L.,Carnation Orange,,Herb,Perennial,Dicot,TRY;NRCS
Dianthus chinensis L.,China Pink,,Herb,Annual;Biennial;Pernnial,Dicot,TRY;NRCS
Dicliptera heterostegia Nees,,,Herb,Perennial,Dicot,FPI
Dicliptera paniculata (Forssk.) I.Darbysh.,Panicled Foldwing,"Kakajangha, naka bhanga (asm); nasabhanga (ben); bodi aghadi, kakajangha, kali aghedi (guj); atrilal, kakajangha, kakanadi, masi, nasabhanga (hin); cheebee gida, sibi gida (kan); kattupuzhukkolli (mal); khuman langthrei (mni); kakajangha, pittpapada, ran kirayat (mar); kakajangha, kakatikta, nadikanta, prachibala, sulomasha (san); najhpat (Sindhi); kara-k-kanciram (tam); chebeera (tel)",Herb,Annual,Dicot,FOI
Dicoma incana (Baker) O.Hoffm.,,,Herb,Annual,Dicot,EOL
Dicoma tomentosa Cass.,Woolly Dicoma,Vajardanti (hin); Navananji (kan); Navananji chapala (mar),Herb,Annual,Dicot,TRY;FOI
Dictyosperma album (Bory) Scheff.,Hurricane Palm,,Shrub,Perennial,Monocot,DG
Dieffenbachia seguine (Jacq.) Schott,Dumb Cane,,Herb,Perennial,Monocot,NRCS
Dierama pulcherrimum (Hook.f.) Baker,Angel'S Fishing Rod,,Bulb,Perennial,Monocot,DG
Dietes iridioides (L.) Sweet ex Klatt,Fortnight Lil,,Shrub,Perennial,Monocot,DG
Digera muricata (L.) Mart.,False Amaranth,"Lata mouri (ben); kanjaro (guj); chanchali, lahsuva, latmahuria (hin); chenchalisoppu, gorajepalle (kan); getna (knn); kattucheera (mal); getan, kunjar, taandul kundra (mar); kari gandhari (ori); leswa, tandala (pan); ghundro, lolaru (raj); kunanjara (san); toyya-k-kirai (tam); chenchalicettu (tel); chanchali (urd)",Herb,Annual,Dicot,TRY;NRCS
Digitalis grandiflora Mill.,Large Yellow Foxglove,,Herb,Biennial;Perennial,Dicot,NRCS
Digitalis purpurea L.,Foxglove,,Herb,Biennial,Dicot,NRCS
Digitaria ciliaris (Retz.) Koeler,Wild Crabgrass,,Graminoid,Annual,Monocot,TRY;NRCS
Digitaria eriantha Steud.,Pangola-Grass,,Graminoid,Perennial,Monocot,NRCS
Digitaria longiflora (Retz.) Pers.,False Couch Grass,Kaduthene hullu (kan),Graminoid,Annual,Monocot,TRY;NRCS
Digitaria sanguinalis (L.) Scop.,Hairy Crabgrass,,Graminoid,Annual,Monocot,TRY;NRCS
Dignathia hirtella Stapf,,,Graminoid,Annual,Monocot,TRY
Dillenia suffruticosa (Griff.) Martelli,Shrubby Dillenia,,Tree,Perennial,Dicot,NRCS
Dimeria ornithopoda Trin.,,Khap-kurdi (mar),Graminoid,Annual,Monocot,TRY;NRCS
Dimorphotheca pluvialis (L.) Moench,White African Daisy,,Herb,Annual,Dicot,NRCS;FOI
Dinebra retroflexa (Vahl) Panz.,Viper Grass,Naribalada hullu (kan); Lonigawat (mar),Graminoid,Annual,Monocot,NRCS
Dioclea virgata (Rich.) Amshoff,,,Shrub;Vine,Perennial,Dicot,FPI
Diodella teres (Walter) Small,Rough Buttonweed,,Herb,Annual;Perennial,Dicot,NRCS
Diospyros kaki L.f.,Japanese Persimmon,Halwa-tendu (hin); Haluwabed (npi),Tree,Perennial,Dicot,NRCS;FOI
Diplotaxis muralis (L.) DC.,Annual Wallrocket,,Herb,Annual;Biennial,Dicot,TRY;NRCS
Dolichandra unguis-cati (L.) L.G.Lohmann,Cat'S Claw,,Herb;Vine,Perennial,Dicot,FOI
Dolichandrone spathacea (L.f.) Seem.,Mangrove Trumpet Tree,"Arkuvoddi (kan); neerpongiliyam, nirpongilium (mal); Samudrashingi (mar); attukkompoti, attukkompotiyai, kanbillai, kanpilaicceti (tam)",Tree,Perennial,Dicot,TRY;NRCS;FOI
Dombeya mollis Hook.,,,Tree,Perennial,Dicot,FPI
Dombeya platanifolia Bojer,,,Shrub,Perennial,Dicot,FPI
Dombeya spectabilis Bojer,Dombeya,Domrupani (ben),Shrub;Tree,Perennial,Dicot,FOI
Dombeya tiliacea (Endl.) Planch.,Cape Wedding Bells Tree,,Tree,Perennial,Dicot,FOI
Dorstenia bahiensis Klotzsch ex Fisch. & C.A.Mey.,Mattress Button Plant,,Herb,Perennial,Dicot,DG
Dorstenia contrajerva L.,Snakewort,,Herb,Perennial,Dicot,NRCS
Dracaena draco (L.) L.,"Dragon Tree, Dragon Blood Tree, Asparagus Draco ",,Tree,Perennial,Monocot,NRCS;FOI
Drymaria cordata (L.) Willd. ex Schult.,Tropical Chickweed,Laijabori (asm); Pithpapra (hin); Tandal pambi (mni); Abhiijaalo (npi); Changkalrit (lus),Herb,Annual,Dicot,TRY;NRCS
Drymaria villosa Schltdl. & Cham.,,,Herb,Annual,Dicot,FPI
Duranta erecta L.,Sky Flower,"Nilkanta (hin); Hucchelasi, Husi elasi (kan); Samballei (mni); Neel Kaandaa (npi); Hlingdai (lus)",Shrub;Tree,Perennial,Dicot,TRY;NRCS
Dypsis decaryi (Jum.) Beentje & J.Dransf.,Triangle palm,,Palm,Perennial,Monocot,POWO
Dypsis lutescens (H.Wendl.) Beentje & J.Dransf.,Yellow butterfly palm,,Palm,Perennial,Monocot,POWO
Dypsis madagascariensis (Becc.) Beentje & J.Dransf.,Malagasy Palm,,Palm,Perennial,Monocot,DG
Dysphania ambrosioides (L.) Mosyakin & Clemants,Mexican Tea,"Sugandha vastuka (hin); kadaoma, kaadu oma, gudde oma, huli oma (kan); kaaduvonvo (knn); eechchekkolli, kattayamodakam, mannennachcheti, naatachcheti (mal); monshaobi manbi (mni); chandanbatva (mar); buarchhimtir (lus)",Herb,Annual,Dicot,TRY;NRCS
Dysphania botrys (L.) Mosyakin & Clemants,Jerusalem-Oak Goosefoot,,Herb,Annual,Dicot,NRCS
Dysphania carinata (R.Br.) Mosyakin & Clemants,,,Herb,Annual,Dicot,NRCS
Dysphania pumilio (R.Br.) Mosyakin & Clemants,,,Herb,Annual,Dicot,NRCS
Dyssodia tenuiloba (DC.) B.L.Rob.,Dahlberg Daisy,,Herb,Annual;Perennial,Dicot,NRCS
Echeveria elegans Rose,Mexican Snow Ball,,Herb,Perennial,Dicot,DG
Echinochloa colona (L.) Link,Jungle Rice,"Jangli jhangora, Jharwa, Jirio, Shama (hin); kaadu haaraka, kaadu haaraka hullu (kan); borur, jiria, pacushama, sawank, tor, todia (mar); othagaddi (tel)",Graminoid,Annual,Monocot,TRY;NRCS
