Acc_Species_Name,Class,Order ,Family,Genus,Species,Authority,Invasion.Status,Source
Commiphora gileadensis (L.) C.Chr.,Magnoliopsida,Sapindales,Burseraceae,Commiphora,gileadensis,(L.) C.Chr.,CA,ILORA_Sp.Categorization.Metadata
Congea velutina Wight,Magnoliopsida,Lamiales,Lamiaceae,Congea,velutina,Wight,CA,ILORA_Sp.Categorization.Metadata
Consolida regalis Gray,Magnoliopsida,Ranunculales,Ranunculaceae,Consolida,regalis,Gray,CA,ILORA_Sp.Categorization.Metadata
Convolvulus arvensis L.,Magnoliopsida,Solanales,Convolvulaceae,Convolvulus,arvensis,L.,N,ILORA_Sp.Categorization.Metadata
Conyza sumatrensis (S.F.Blake) Pruski & G.Sancho,Magnoliopsida,Asterales,Asteraceae,Conyza,sumatrensis,(S.F.Blake) Pruski & G.Sancho,Nt,ILORA_Sp.Categorization.Metadata
Corchorus aestuans L.,Magnoliopsida,Malvales,Malvaceae,Corchorus,aestuans,L.,In,ILORA_Sp.Categorization.Metadata
Corchorus capsularis L.,Magnoliopsida,Malvales,Malvaceae,Corchorus,capsularis,L.,N,ILORA_Sp.Categorization.Metadata
Corchorus fascicularis Lam.,Magnoliopsida,Malvales,Malvaceae,Corchorus,fascicularis,Lam.,N,ILORA_Sp.Categorization.Metadata
Corchorus olitorius L.,Magnoliopsida,Malvales,Malvaceae,Corchorus,olitorius,L.,N,ILORA_Sp.Categorization.Metadata
Corchorus tridens L.,Magnoliopsida,Malvales,Malvaceae,Corchorus,tridens,L.,N,ILORA_Sp.Categorization.Metadata
Corchorus trilocularis L.,Magnoliopsida,Malvales,Malvaceae,Corchorus,trilocularis,L.,N,ILORA_Sp.Categorization.Metadata
Cordia cylindrostachya (Ruiz & Pav.) Roem. & Schult.,Magnoliopsida,Boraginales,Boraginaceae,Cordia,cylindrostachya,(Ruiz & Pav.) Roem. & Schult.,CA,ILORA_Sp.Categorization.Metadata
Cordyline australis Hook.f.,Liliopsida,Asparagales,Asparagaceae,Cordyline,australis,Hook.f.,CA,ILORA_Sp.Categorization.Metadata
Cordyline fruticosa (L.) A.Chev.,Liliopsida,Asparagales,Asparagaceae,Cordyline,fruticosa,(L.) A.Chev.,CA,ILORA_Sp.Categorization.Metadata
Cordyline pumilio Hook.f.,Liliopsida,Asparagales,Asparagaceae,Cordyline,pumilio,Hook.f.,CA,ILORA_Sp.Categorization.Metadata
Coreopsis grandiflora Hogg ex Sweet,Magnoliopsida,Asterales,Asteraceae,Coreopsis,grandiflora,Hogg ex Sweet,CA,ILORA_Sp.Categorization.Metadata
Coriandrum sativum L.,Magnoliopsida,Apiales,Apiaceae,Coriandrum,sativum,L.,CA,ILORA_Sp.Categorization.Metadata
Cortaderia selloana (Schult. & Schult.f.) Asch. & Graebn.,Liliopsida,Poales,Poaceae,Cortaderia,selloana,(Schult. & Schult.f.) Asch. & Graebn.,CA,ILORA_Sp.Categorization.Metadata
Corymbia citriodora (Hook.) K.D.Hill & L.A.S.Johnson,Magnoliopsida,Myrtales,Myrtaceae,Corymbia,citriodora,(Hook.) K.D.Hill & L.A.S.Johnson,Nt,ILORA_Sp.Categorization.Metadata
Corymbia maculata (Hook.) K.D.Hill & L.A.S.Johnson,Magnoliopsida,Myrtales,Myrtaceae,Corymbia,maculata,(Hook.) K.D.Hill & L.A.S.Johnson,CA,ILORA_Sp.Categorization.Metadata
Cosmos bipinnatus Cav.,Magnoliopsida,Asterales,Asteraceae,Cosmos,bipinnatus,Cav.,Nt,ILORA_Sp.Categorization.Metadata
Cosmos sulphureus Cav.,Magnoliopsida,Asterales,Asteraceae,Cosmos,sulphureus,Cav.,Nt,ILORA_Sp.Categorization.Metadata
Costus erythrophyllus Loes.,Liliopsida,Zingiberales,Costaceae,Costus,erythrophyllus,Loes.,CA,ILORA_Sp.Categorization.Metadata
Costus malortieanus H.Wendl.,Liliopsida,Zingiberales,Costaceae,Costus,malortieanus,H.Wendl.,CA,ILORA_Sp.Categorization.Metadata
Cotoneaster transens G.Klotz,Magnoliopsida,Rosales,Rosaceae,Cotoneaster,transens,G.Klotz,CG,ILORA_Sp.Categorization.Metadata
Cotula australis (Sieber ex Spreng.) Hook.f.,Magnoliopsida,Asterales,Asteraceae,Cotula,australis,(Sieber ex Spreng.) Hook.f.,In,ILORA_Sp.Categorization.Metadata
Crassocephalum crepidioides (Benth.) S.Moore,Magnoliopsida,Asterales,Asteraceae,Crassocephalum,crepidioides,(Benth.) S.Moore,In,ILORA_Sp.Categorization.Metadata
Crassocephalum vitellinum (Benth.) S.Moore,Magnoliopsida,Asterales,Asteraceae,Crassocephalum,vitellinum,(Benth.) S.Moore,CA,ILORA_Sp.Categorization.Metadata
Crassula coccinea L.,Magnoliopsida,Saxifragales,Crassulaceae,Crassula,coccinea,L.,CA,ILORA_Sp.Categorization.Metadata
Crassula multicava Lem.,Magnoliopsida,Saxifragales,Crassulaceae,Crassula,multicava,Lem.,CA,ILORA_Sp.Categorization.Metadata
Crataegus monogyna Jacq.,Magnoliopsida,Rosales,Rosaceae,Crataegus,monogyna,Jacq.,CA,ILORA_Sp.Categorization.Metadata
Craterostigma plantagineum Hochst.,Magnoliopsida,Lamiales,Linderniaceae,Craterostigma,plantagineum,Hochst.,N,ILORA_Sp.Categorization.Metadata
Crepis sancta (L.) Bornm.,Magnoliopsida,Asterales,Asteraceae,Crepis,sancta,(L.) Bornm.,Nt,ILORA_Sp.Categorization.Metadata
Crescentia alata Kunth,Magnoliopsida,Lamiales,Bignoniaceae,Crescentia,alata,Kunth,CA,ILORA_Sp.Categorization.Metadata
Crinum moorei Hook.f.,Liliopsida,Asparagales,Amaryllidaceae,Crinum,moorei,Hook.f.,CA,ILORA_Sp.Categorization.Metadata
Crocosmia pottsii (Baker) N.E.Br.,Liliopsida,Asparagales,Iridaceae,Crocosmia,pottsii,(Baker) N.E.Br.,CA,ILORA_Sp.Categorization.Metadata
Crossostephium artemisioides Less.,Magnoliopsida,Asterales,Asteraceae,Crossostephium,artemisioides,Less.,CA,ILORA_Sp.Categorization.Metadata
Crotalaria goreensis Guill. & Perr.,Magnoliopsida,Fabales,Fabaceae,Crotalaria,goreensis,Guill. & Perr.,CA,ILORA_Sp.Categorization.Metadata
Crotalaria incana L.,Magnoliopsida,Fabales,Fabaceae,Crotalaria,incana,L.,Nt,ILORA_Sp.Categorization.Metadata
Crotalaria juncea L.,Magnoliopsida,Fabales,Fabaceae,Crotalaria,juncea,L.,N,ILORA_Sp.Categorization.Metadata
Crotalaria medicaginea Lam.,Magnoliopsida,Fabales,Fabaceae,Crotalaria,medicaginea,Lam.,N,ILORA_Sp.Categorization.Metadata
Crotalaria micans Link,Magnoliopsida,Fabales,Fabaceae,Crotalaria,micans,Link,Nt,ILORA_Sp.Categorization.Metadata
Crotalaria pallida Aiton,Magnoliopsida,Fabales,Fabaceae,Crotalaria,pallida,Aiton,N,ILORA_Sp.Categorization.Metadata
Croton bonplandianus Baill.,Magnoliopsida,Malpighiales,Euphorbiaceae,Croton,bonplandianus,Baill.,In,ILORA_Sp.Categorization.Metadata
Croton hirtus L'Hér.,Magnoliopsida,Malpighiales,Euphorbiaceae,Croton,hirtus,L'Hér.,In,ILORA_Sp.Categorization.Metadata
Cryosophila nana (Kunth) Blume,Liliopsida,Arecales,Arecaceae,Cryosophila,nana,(Kunth) Blume,CA,ILORA_Sp.Categorization.Metadata
Cryptanthus zonatus (Vis.) Beer,Liliopsida,Poales,Bromeliaceae,Cryptanthus,zonatus,(Vis.) Beer,CA,ILORA_Sp.Categorization.Metadata
Cryptostegia grandiflora Roxb. ex R.Br.,Magnoliopsida,Gentianales,Apocynaceae,Cryptostegia,grandiflora,Roxb. ex R.Br.,In,ILORA_Sp.Categorization.Metadata
Cryptostegia madagascariensis Bojer ex Decne.,Magnoliopsida,Gentianales,Apocynaceae,Cryptostegia,madagascariensis,Bojer ex Decne.,Nt,ILORA_Sp.Categorization.Metadata
Cuphea bustamanta Lex.,Magnoliopsida,Myrtales,Lythraceae,Cuphea,bustamanta,Lex.,CG,ILORA_Sp.Categorization.Metadata
Cuphea hyssopifolia Kunth,Magnoliopsida,Myrtales,Lythraceae,Cuphea,hyssopifolia,Kunth,CA,ILORA_Sp.Categorization.Metadata
Cuphea ignea A.DC.,Magnoliopsida,Myrtales,Lythraceae,Cuphea,ignea,A.DC.,CA,ILORA_Sp.Categorization.Metadata
Cuphea lanceolata W.T.Aiton,Magnoliopsida,Myrtales,Lythraceae,Cuphea,lanceolata,W.T.Aiton,CA,ILORA_Sp.Categorization.Metadata
Cuphea llavea Lex.,Magnoliopsida,Myrtales,Lythraceae,Cuphea,llavea,Lex.,CA,ILORA_Sp.Categorization.Metadata
Cuphea melvilla Lindl.,Magnoliopsida,Myrtales,Lythraceae,Cuphea,melvilla,Lindl.,CA,ILORA_Sp.Categorization.Metadata
Cuphea micropetala Kunth,Magnoliopsida,Myrtales,Lythraceae,Cuphea,micropetala,Kunth,CA,ILORA_Sp.Categorization.Metadata
Cupressus arizonica Greene,Pinopsida,Pinales,Cupressaceae,Cupressus,arizonica,Greene,CA,ILORA_Sp.Categorization.Metadata
Cupressus goveniana Gordon,Pinopsida,Pinales,Cupressaceae,Cupressus,goveniana,Gordon,CA,ILORA_Sp.Categorization.Metadata
Curcuma zanthorrhiza Roxb.,Liliopsida,Zingiberales,Zingiberaceae,Curcuma,zanthorrhiza,Roxb.,CA,ILORA_Sp.Categorization.Metadata
Cuscuta campestris Yunck.,Magnoliopsida,Solanales,Convolvulaceae,Cuscuta,campestris,Yunck.,Nt,ILORA_Sp.Categorization.Metadata
Cuscuta chinensis Lam.,Magnoliopsida,Solanales,Convolvulaceae,Cuscuta,chinensis,Lam.,N,ILORA_Sp.Categorization.Metadata
Cuscuta pentagona Engelm.,Magnoliopsida,Solanales,Convolvulaceae,Cuscuta,pentagona,Engelm.,CA,ILORA_Sp.Categorization.Metadata
Cuscuta planiflora Ten.,Magnoliopsida,Solanales,Convolvulaceae,Cuscuta,planiflora,Ten.,CA,ILORA_Sp.Categorization.Metadata
Cyanus segetum Hill,Magnoliopsida,Asterales,Asteraceae,Cyanus,segetum,Hill,CA,ILORA_Sp.Categorization.Metadata
Cycas revoluta Thunb.,Cycadopsida,Cycadales ,Cycadaceae,Cycas,revoluta,Thunb.,CA,ILORA_Sp.Categorization.Metadata
Cyclanthus bipartitus Poit. ex A.Rich.,Magnoliopsida,Pandanales,Cyclanthaceae,Cyclanthus,bipartitus,Poit. ex A.Rich.,CA,ILORA_Sp.Categorization.Metadata
Cyclospermum leptophyllum (Pers.) Sprague,Magnoliopsida,Apiales ,Apiaceae,Cyclospermum,leptophyllum,(Pers.) Sprague,In,ILORA_Sp.Categorization.Metadata
Cylindropuntia ramosissima (Engelm.) F.M.Knuth,Magnoliopsida,Caryophyllales,Cactaceae,Cylindropuntia,ramosissima,(Engelm.) F.M.Knuth,In,ILORA_Sp.Categorization.Metadata
"Cymbalaria muralis P.Gaertn., B.Mey. & Scherb.",Magnoliopsida,Lamiales,Plantaginaceae,Cymbalaria,muralis,"P.Gaertn., B.Mey. & Scherb.",Nt,ILORA_Sp.Categorization.Metadata
Cymbopogon citratus (DC.) Stapf,Liliopsida,Poales,Poaceae,Cymbopogon,citratus,(DC.) Stapf,N,ILORA_Sp.Categorization.Metadata
Cymbopogon winterianus Jowitt ex Bor,Liliopsida,Poales,Poaceae,Cymbopogon,winterianus,Jowitt ex Bor,CA,ILORA_Sp.Categorization.Metadata
Cynara cardunculus L.,Magnoliopsida,Asterales,Asteraceae,Cynara,cardunculus,L.,CA,ILORA_Sp.Categorization.Metadata
Cynodon dactylon (L.) Pers.,Liliopsida,Poales,Poaceae,Cynodon,dactylon,(L.) Pers.,N,ILORA_Sp.Categorization.Metadata
Cynodon plectostachyus (K.Schum.) Pilg.,Liliopsida,Poales,Poaceae,Cynodon,plectostachyus,(K.Schum.) Pilg.,CA,ILORA_Sp.Categorization.Metadata
Cynometra cauliflora L.,Magnoliopsida,Fabales,Fabaceae,Cynometra,cauliflora,L.,CA,ILORA_Sp.Categorization.Metadata
Cyperus alopecuroides Rottb.,Liliopsida,Poales,Cyperaceae,Cyperus,alopecuroides,Rottb.,N,ILORA_Sp.Categorization.Metadata
Cyperus alternifolius L.,Liliopsida,Poales,Cyperaceae,Cyperus,alternifolius,L.,CA,ILORA_Sp.Categorization.Metadata
Cyperus arenarius Retz.,Liliopsida,Poales,Cyperaceae,Cyperus,arenarius,Retz.,N,ILORA_Sp.Categorization.Metadata
Cyperus cruentus Rottb.,Liliopsida,Poales,Cyperaceae,Cyperus,cruentus,Rottb.,CA,ILORA_Sp.Categorization.Metadata
Cyperus difformis L.,Liliopsida,Poales,Cyperaceae,Cyperus,difformis,L.,N,ILORA_Sp.Categorization.Metadata
Cyperus dubius Rottb.,Liliopsida,Poales,Cyperaceae,Cyperus,dubius,Rottb.,N,ILORA_Sp.Categorization.Metadata
Cyperus esculentus L.,Liliopsida,Poales,Cyperaceae,Cyperus,esculentus,L.,N,ILORA_Sp.Categorization.Metadata
Cyperus fuscus L.,Liliopsida,Poales,Cyperaceae,Cyperus,fuscus,L.,N,ILORA_Sp.Categorization.Metadata
Cyperus glomeratus L.,Liliopsida,Poales,Cyperaceae,Cyperus,glomeratus,L.,N,ILORA_Sp.Categorization.Metadata
Cyperus hamulosus M.Bieb.,Liliopsida,Poales,Cyperaceae,Cyperus,hamulosus,M.Bieb.,CA,ILORA_Sp.Categorization.Metadata
Cyperus involucratus Rottb.,Liliopsida,Poales,Cyperaceae,Cyperus,involucratus,Rottb.,Nt,ILORA_Sp.Categorization.Metadata
Cyperus iria L.,Liliopsida,Poales,Cyperaceae,Cyperus,iria,L.,N,ILORA_Sp.Categorization.Metadata
Cyperus longus L.,Liliopsida,Poales,Cyperaceae,Cyperus,longus,L.,N,ILORA_Sp.Categorization.Metadata
Cyperus michelianus (L.) Delile,Liliopsida,Poales,Cyperaceae,Cyperus,michelianus,(L.) Delile,N,ILORA_Sp.Categorization.Metadata
Cyperus papyrus L.,Liliopsida,Poales,Cyperaceae,Cyperus,papyrus,L.,CA,ILORA_Sp.Categorization.Metadata
Cyperus prolifer Lam.,Liliopsida,Poales,Cyperaceae,Cyperus,prolifer,Lam.,CA,ILORA_Sp.Categorization.Metadata
Cyperus rotundus L.,Liliopsida,Poales,Cyperaceae,Cyperus,rotundus,L.,N,ILORA_Sp.Categorization.Metadata
Cyperus sphacelatus Rottb.,Liliopsida,Poales,Cyperaceae,Cyperus,sphacelatus,Rottb.,CA,ILORA_Sp.Categorization.Metadata
Cyperus surinamensis Rottb.,Liliopsida,Poales,Cyperaceae,Cyperus,surinamensis,Rottb.,CA,ILORA_Sp.Categorization.Metadata
Cyrtostachys renda Blume,Liliopsida,Arecales,Arecaceae,Cyrtostachys,renda,Blume,CA,ILORA_Sp.Categorization.Metadata
Cytisus hirsutus L.,Magnoliopsida,Fabales,Fabaceae,Cytisus,hirsutus,L.,Nt,ILORA_Sp.Categorization.Metadata
Cytisus multiflorus (L'Her.) Sweet,Magnoliopsida,Fabales,Fabaceae,Cytisus,multiflorus,(L'Her.) Sweet,CA,ILORA_Sp.Categorization.Metadata
Cytisus proliferus L.f.,Magnoliopsida,Fabales,Fabaceae,Cytisus,proliferus,L.f.,Nt,ILORA_Sp.Categorization.Metadata
Cytisus scoparius (L.) Link,Magnoliopsida,Fabales,Fabaceae,Cytisus,scoparius,(L.) Link,In,ILORA_Sp.Categorization.Metadata
Daboecia cantabrica (Huds.) K.Koch,Magnoliopsida,Ericales,Ericaceae,Daboecia,cantabrica,(Huds.) K.Koch,CA,ILORA_Sp.Categorization.Metadata
Dactyliandra welwitschii Hook.f.,Magnoliopsida,Cucurbitales,Cucurbitaceae,Dactyliandra,welwitschii,Hook.f.,Nt,ILORA_Sp.Categorization.Metadata
Dactylis glomerata L.,Liliopsida,Poales,Poaceae,Dactylis,glomerata,L.,N,ILORA_Sp.Categorization.Metadata
Dactyloctenium aegyptium (L.) Willd.,Liliopsida,Poales,Poaceae,Dactyloctenium,aegyptium,(L.) Willd.,N,ILORA_Sp.Categorization.Metadata
Dactyloctenium australe Steud.,Liliopsida,Poales,Poaceae,Dactyloctenium,australe,Steud.,CA,ILORA_Sp.Categorization.Metadata
Dactyloctenium scindicum Boiss.,Liliopsida,Poales,Poaceae,Dactyloctenium,scindicum,Boiss.,N,ILORA_Sp.Categorization.Metadata
Dahlia coccinea Cav.,Magnoliopsida,Asterales,Asteraceae,Dahlia,coccinea,Cav.,CA,ILORA_Sp.Categorization.Metadata
Dahlia imperialis Roezl ex Ortgies,Magnoliopsida,Asterales,Asteraceae,Dahlia,imperialis,Roezl ex Ortgies,CA,ILORA_Sp.Categorization.Metadata
Dahlia pinnata Cav.,Magnoliopsida,Asterales,Asteraceae,Dahlia,pinnata,Cav.,CA,ILORA_Sp.Categorization.Metadata
Dalbergia melanoxylon Guill. & Perr.,Magnoliopsida,Fabales,Fabaceae,Dalbergia,melanoxylon,Guill. & Perr.,Nt,ILORA_Sp.Categorization.Metadata
Dalechampia tamifolia Lam.,Magnoliopsida,Malpighiales,Euphorbiaceae,Dalechampia,tamifolia,Lam.,N,ILORA_Sp.Categorization.Metadata
Daphnopsis anomala (Kunth) Domke,Magnoliopsida,Malvales,Thymelaeaceae,Daphnopsis,anomala,(Kunth) Domke,CA,ILORA_Sp.Categorization.Metadata
Datura ferox L.,Magnoliopsida, Solanales,Solanaceae,Datura,ferox,L.,In,ILORA_Sp.Categorization.Metadata
Datura inoxia Mill.,Magnoliopsida, Solanales,Solanaceae,Datura,inoxia,Mill.,In,ILORA_Sp.Categorization.Metadata
Datura metel L.,Magnoliopsida, Solanales,Solanaceae,Datura,metel,L.,In,ILORA_Sp.Categorization.Metadata
Datura quercifolia Kunth,Magnoliopsida, Solanales,Solanaceae,Datura,quercifolia,Kunth,CA,ILORA_Sp.Categorization.Metadata
Datura stramonium L.,Magnoliopsida, Solanales,Solanaceae,Datura,stramonium,L.,In,ILORA_Sp.Categorization.Metadata
Daucus carota L.,Magnoliopsida,Apiales ,Apiaceae,Daucus,carota,L.,CA,ILORA_Sp.Categorization.Metadata
Deeringia amaranthoides (Lam.) Merr.,Magnoliopsida,Caryophyllales,Amaranthaceae,Deeringia,amaranthoides,(Lam.) Merr.,N,ILORA_Sp.Categorization.Metadata
Delairea odorata Lem.,Magnoliopsida,Asterales,Asteraceae,Delairea,odorata,Lem.,CA,ILORA_Sp.Categorization.Metadata
Delonix regia (Hook.) Raf.,Magnoliopsida,Fabales,Fabaceae,Delonix,regia,(Hook.) Raf.,CA,ILORA_Sp.Categorization.Metadata
Delphinium elatum L.,Magnoliopsida,Ranunculales,Ranunculaceae,Delphinium,elatum,L.,CA,ILORA_Sp.Categorization.Metadata
Dendrocalamus giganteus Munro,Liliopsida,Poales,Poaceae,Dendrocalamus,giganteus,Munro,CA,ILORA_Sp.Categorization.Metadata
Dendrocalamus strictus (Roxb.) Nees,Liliopsida,Poales,Poaceae,Dendrocalamus,strictus,(Roxb.) Nees,N,ILORA_Sp.Categorization.Metadata
Dentella repens (L.) J.R.Forst. & G.Forst.,Magnoliopsida,Gentianales,Rubiaceae,Dentella,repens,(L.) J.R.Forst. & G.Forst.,Nt,ILORA_Sp.Categorization.Metadata
Desmanthus virgatus (L.) Willd.,Magnoliopsida,Fabales,Fabaceae,Desmanthus,virgatus,(L.) Willd.,In,ILORA_Sp.Categorization.Metadata
Desmodium microphyllum (Thunb.) DC.,Magnoliopsida,Fabales,Fabaceae,Desmodium,microphyllum,(Thunb.) DC.,N,ILORA_Sp.Categorization.Metadata
Desmodium neomexicanum A.Gray,Magnoliopsida,Fabales,Fabaceae,Desmodium,neomexicanum,A.Gray,CA,ILORA_Sp.Categorization.Metadata
Desmodium scorpiurus (Sw.) Desv.,Magnoliopsida,Fabales,Fabaceae,Desmodium,scorpiurus,(Sw.) Desv.,CA,ILORA_Sp.Categorization.Metadata
Desmodium tortuosum (Sw.) DC.,Magnoliopsida,Fabales,Fabaceae,Desmodium,tortuosum,(Sw.) DC.,Nt,ILORA_Sp.Categorization.Metadata
Desmodium triflorum (L.) DC.,Magnoliopsida,Fabales,Fabaceae,Desmodium,triflorum,(L.) DC.,N,ILORA_Sp.Categorization.Metadata
Desmodium uncinatum (Jacq.) DC.,Magnoliopsida,Fabales,Fabaceae,Desmodium,uncinatum,(Jacq.) DC.,CA,ILORA_Sp.Categorization.Metadata
Dianella tasmanica Hook.f.,Liliopsida,Asparagales,Asphodelaceae,Dianella,tasmanica,Hook.f.,CA,ILORA_Sp.Categorization.Metadata
Dianthus barbatus L.,Magnoliopsida,Caryophyllales,Caryophyllaceae,Dianthus,barbatus,L.,CA,ILORA_Sp.Categorization.Metadata
Dianthus caryophyllus L.,Magnoliopsida,Caryophyllales,Caryophyllaceae,Dianthus,caryophyllus,L.,CA,ILORA_Sp.Categorization.Metadata
Dianthus chinensis L.,Magnoliopsida,Caryophyllales,Caryophyllaceae,Dianthus,chinensis,L.,N,ILORA_Sp.Categorization.Metadata
Dicliptera heterostegia Nees,Magnoliopsida,Lamiales,Acanthaceae,Dicliptera,heterostegia,Nees,N,ILORA_Sp.Categorization.Metadata
Dicliptera paniculata (Forssk.) I.Darbysh.,Magnoliopsida,Lamiales,Acanthaceae,Dicliptera,paniculata,(Forssk.) I.Darbysh.,N,ILORA_Sp.Categorization.Metadata
Dicoma incana (Baker) O.Hoffm.,Magnoliopsida,Asterales,Asteraceae,Dicoma,incana,(Baker) O.Hoffm.,CA,ILORA_Sp.Categorization.Metadata
Dicoma tomentosa Cass.,Magnoliopsida,Asterales,Asteraceae,Dicoma,tomentosa,Cass.,N,ILORA_Sp.Categorization.Metadata
Dictyosperma album (Bory) Scheff.,Liliopsida,Arecales,Arecaceae,Dictyosperma,album,(Bory) Scheff.,CA,ILORA_Sp.Categorization.Metadata
Dieffenbachia seguine (Jacq.) Schott,Liliopsida,Alismatales,Araceae,Dieffenbachia,seguine,(Jacq.) Schott,CA,ILORA_Sp.Categorization.Metadata
Dierama pulcherrimum (Hook.f.) Baker,Liliopsida,Asparagales,Iridaceae,Dierama,pulcherrimum,(Hook.f.) Baker,CA,ILORA_Sp.Categorization.Metadata
Dietes iridioides (L.) Sweet ex Klatt,Liliopsida,Asparagales,Iridaceae,Dietes,iridioides,(L.) Sweet ex Klatt,CA,ILORA_Sp.Categorization.Metadata
Digera muricata (L.) Mart.,Magnoliopsida,Caryophyllales,Amaranthaceae,Digera,muricata,(L.) Mart.,N,ILORA_Sp.Categorization.Metadata
Digitalis grandiflora Mill.,Magnoliopsida,Lamiales,Plantaginaceae,Digitalis,grandiflora,Mill.,CA,ILORA_Sp.Categorization.Metadata
Digitalis purpurea L.,Magnoliopsida,Lamiales,Plantaginaceae,Digitalis,purpurea,L.,Nt,ILORA_Sp.Categorization.Metadata
Digitaria ciliaris (Retz.) Koeler,Liliopsida,Poales,Poaceae,Digitaria,ciliaris,(Retz.) Koeler,N,ILORA_Sp.Categorization.Metadata
Digitaria eriantha Steud.,Liliopsida,Poales,Poaceae,Digitaria,eriantha,Steud.,CA,ILORA_Sp.Categorization.Metadata
Digitaria longiflora (Retz.) Pers.,Liliopsida,Poales,Poaceae,Digitaria,longiflora,(Retz.) Pers.,N,ILORA_Sp.Categorization.Metadata
Digitaria sanguinalis (L.) Scop.,Liliopsida,Poales,Poaceae,Digitaria,sanguinalis,(L.) Scop.,N,ILORA_Sp.Categorization.Metadata
Dignathia hirtella Stapf,Liliopsida,Poales,Poaceae,Dignathia,hirtella,Stapf,N,ILORA_Sp.Categorization.Metadata
Dillenia suffruticosa (Griff.) Martelli,Magnoliopsida,Dilleniales,Dilleniaceae,Dillenia,suffruticosa,(Griff.) Martelli,CA,ILORA_Sp.Categorization.Metadata
Dimeria ornithopoda Trin.,Liliopsida,Poales,Poaceae,Dimeria,ornithopoda,Trin.,N,ILORA_Sp.Categorization.Metadata
Dimorphotheca pluvialis (L.) Moench,Magnoliopsida,Asterales,Asteraceae,Dimorphotheca,pluvialis,(L.) Moench,CA,ILORA_Sp.Categorization.Metadata
Dinebra retroflexa (Vahl) Panz.,Liliopsida,Poales,Poaceae,Dinebra,retroflexa,(Vahl) Panz.,N,ILORA_Sp.Categorization.Metadata
Dioclea virgata (Rich.) Amshoff,Magnoliopsida,Fabales,Fabaceae,Dioclea,virgata,(Rich.) Amshoff,CA,ILORA_Sp.Categorization.Metadata
Diodella teres (Walter) Small,Magnoliopsida,Gentianales,Rubiaceae,Diodella,teres,(Walter) Small,CA,ILORA_Sp.Categorization.Metadata
Diospyros kaki L.f.,Magnoliopsida,Ericales,Ebenaceae,Diospyros,kaki,L.f.,N,ILORA_Sp.Categorization.Metadata
Diplotaxis muralis (L.) DC.,Magnoliopsida,Brassicales,Brassicaceae,Diplotaxis,muralis,(L.) DC.,Nt,ILORA_Sp.Categorization.Metadata
Dolichandra unguis-cati (L.) L.G.Lohmann,Magnoliopsida,Lamiales,Bignoniaceae,Dolichandra,unguis-cati,(L.) L.G.Lohmann,In,ILORA_Sp.Categorization.Metadata
Dolichandrone spathacea (L.f.) Seem.,Magnoliopsida,Lamiales,Bignoniaceae,Dolichandrone,spathacea,(L.f.) Seem.,N,ILORA_Sp.Categorization.Metadata
Dombeya mollis Hook.,Magnoliopsida,Malvales,Malvaceae,Dombeya,mollis,Hook.,CA,ILORA_Sp.Categorization.Metadata
Dombeya platanifolia Bojer,Magnoliopsida,Malvales,Malvaceae,Dombeya,platanifolia,Bojer,CA,ILORA_Sp.Categorization.Metadata
Dombeya spectabilis Bojer,Magnoliopsida,Malvales,Malvaceae,Dombeya,spectabilis,Bojer,CA,ILORA_Sp.Categorization.Metadata
Dombeya tiliacea (Endl.) Planch.,Magnoliopsida,Malvales,Malvaceae,Dombeya,tiliacea,(Endl.) Planch.,CA,ILORA_Sp.Categorization.Metadata
Dorstenia bahiensis Klotzsch ex Fisch. & C.A.Mey.,Magnoliopsida,Rosales,Moraceae,Dorstenia,bahiensis,Klotzsch ex Fisch. & C.A.Mey.,CA,ILORA_Sp.Categorization.Metadata
Dorstenia contrajerva L.,Magnoliopsida,Rosales,Moraceae,Dorstenia,contrajerva,L.,CA,ILORA_Sp.Categorization.Metadata
Dracaena draco (L.) L.,Liliopsida,Asparagales,Asparagaceae,Dracaena,draco,(L.) L.,CA,ILORA_Sp.Categorization.Metadata
Drymaria cordata (L.) Willd. ex Schult.,Magnoliopsida,Caryophyllales,Caryophyllaceae,Drymaria,cordata,(L.) Willd. ex Schult.,CA,ILORA_Sp.Categorization.Metadata
Drymaria villosa Schltdl. & Cham.,Magnoliopsida,Caryophyllales,Caryophyllaceae,Drymaria,villosa,Schltdl. & Cham.,CA,ILORA_Sp.Categorization.Metadata
Duranta erecta L.,Magnoliopsida,Lamiales,Verbenaceae,Duranta,erecta,L.,In,ILORA_Sp.Categorization.Metadata
Dypsis decaryi (Jum.) Beentje & J.Dransf.,Liliopsida,Arecales,Arecaceae,Dypsis,decaryi,(Jum.) Beentje & J.Dransf.,CA,ILORA_Sp.Categorization.Metadata
Dypsis lutescens (H.Wendl.) Beentje & J.Dransf.,Liliopsida,Arecales,Arecaceae,Dypsis,lutescens,(H.Wendl.) Beentje & J.Dransf.,CA,ILORA_Sp.Categorization.Metadata
Dypsis madagascariensis (Becc.) Beentje & J.Dransf.,Liliopsida,Arecales,Arecaceae,Dypsis,madagascariensis,(Becc.) Beentje & J.Dransf.,CA,ILORA_Sp.Categorization.Metadata
Dysphania ambrosioides (L.) Mosyakin & Clemants,Magnoliopsida,Caryophyllales,Amaranthaceae,Dysphania,ambrosioides,(L.) Mosyakin & Clemants,In,ILORA_Sp.Categorization.Metadata
